"Date","Clicks","Impressions","Avg. CTR"
"6/24/2026 12:00:00 AM","0","0","0"
"6/25/2026 12:00:00 AM","1","3","33.33"
"6/26/2026 12:00:00 AM","0","4","0"
"6/27/2026 12:00:00 AM","0","5","0"
"6/28/2026 12:00:00 AM","0","3","0"
"6/29/2026 12:00:00 AM","0","5","0"
"6/30/2026 12:00:00 AM","0","0","0"
"7/1/2026 12:00:00 AM","0","1","0"
"7/2/2026 12:00:00 AM","0","0","0"
"7/3/2026 12:00:00 AM","0","2","0"
"7/4/2026 12:00:00 AM","0","4","0"
"7/5/2026 12:00:00 AM","0","0","0"
"7/6/2026 12:00:00 AM","0","8","0"
"7/7/2026 12:00:00 AM","0","6","0"
"7/8/2026 12:00:00 AM","1","14","7.14"
"7/9/2026 12:00:00 AM","0","8","0"
"7/10/2026 12:00:00 AM","0","8","0"
"7/11/2026 12:00:00 AM","0","17","0"
"7/12/2026 12:00:00 AM","0","2","0"
"7/13/2026 12:00:00 AM","0","10","0"
